age,gender,department,jobrole,monthlyincome,yearsatcompany,experience_group,overtime,attrition,attrition_flag
41,Female,Sales,Sales Executive,5993,6,6-10 years,Yes,Yes,1
49,Male,Research & Development,Research Scientist,5130,10,6-10 years,No,No,0
37,Male,Research & Development,Laboratory Technician,2090,0,,Yes,Yes,1
33,Female,Research & Development,Research Scientist,2909,8,6-10 years,Yes,No,0
27,Male,Research & Development,Laboratory Technician,3468,2,0-2 years,No,No,0
32,Male,Research & Development,Laboratory Technician,3068,7,6-10 years,No,No,0
59,Female,Research & Development,Laboratory Technician,2670,1,0-2 years,Yes,No,0
30,Male,Research & Development,Laboratory Technician,2693,1,0-2 years,No,No,0
38,Male,Research & Development,Manufacturing Director,9526,9,6-10 years,No,No,0
36,Male,Research & Development,Healthcare Representative,5237,7,6-10 years,No,No,0
35,Male,Research & Development,Laboratory Technician,2426,5,3-5 years,No,No,0
29,Female,Research & Development,Laboratory Technician,4193,9,6-10 years,Yes,No,0
31,Male,Research & Development,Research Scientist,2911,5,3-5 years,No,No,0
34,Male,Research & Development,Laboratory Technician,2661,2,0-2 years,No,No,0
28,Male,Research & Development,Laboratory Technician,2028,4,3-5 years,Yes,Yes,1
29,Female,Research & Development,Manufacturing Director,9980,10,6-10 years,No,No,0
32,Male,Research & Development,Research Scientist,3298,6,6-10 years,Yes,No,0
22,Male,Research & Development,Laboratory Technician,2935,1,0-2 years,Yes,No,0
53,Female,Sales,Manager,15427,25,10+ years,No,No,0
38,Male,Research & Development,Research Scientist,3944,3,3-5 years,Yes,No,0
24,Female,Research & Development,Manufacturing Director,4011,4,3-5 years,No,No,0
36,Male,Sales,Sales Representative,3407,5,3-5 years,No,Yes,1
34,Female,Research & Development,Research Director,11994,12,10+ years,No,No,0
21,Male,Research & Development,Research Scientist,1232,0,,No,No,0
34,Male,Research & Development,Research Scientist,2960,4,3-5 years,No,Yes,1
53,Female,Research & Development,Manager,19094,14,10+ years,No,No,0
32,Female,Research & Development,Research Scientist,3919,10,6-10 years,Yes,Yes,1
42,Male,Sales,Sales Executive,6825,9,6-10 years,No,No,0
44,Female,Research & Development,Healthcare Representative,10248,22,10+ years,No,No,0
46,Female,Sales,Manager,18947,2,0-2 years,No,No,0
33,Male,Research & Development,Laboratory Technician,2496,1,0-2 years,No,No,0
44,Male,Research & Development,Healthcare Representative,6465,4,3-5 years,Yes,No,0
30,Male,Research & Development,Laboratory Technician,2206,10,6-10 years,No,No,0
39,Male,Sales,Sales Representative,2086,1,0-2 years,No,Yes,1
24,Male,Research & Development,Research Scientist,2293,2,0-2 years,Yes,Yes,1
43,Female,Research & Development,Research Scientist,2645,5,3-5 years,No,No,0
50,Male,Sales,Sales Representative,2683,3,3-5 years,Yes,Yes,1
35,Female,Sales,Sales Representative,2014,2,0-2 years,No,No,0
36,Female,Research & Development,Research Scientist,3419,1,0-2 years,Yes,No,0
33,Female,Sales,Sales Executive,5376,5,3-5 years,No,No,0
35,Male,Research & Development,Laboratory Technician,1951,1,0-2 years,No,No,0
27,Female,Research & Development,Laboratory Technician,2341,1,0-2 years,No,No,0
26,Male,Research & Development,Laboratory Technician,2293,1,0-2 years,No,Yes,1
27,Male,Sales,Sales Executive,8726,9,6-10 years,No,No,0
30,Female,Research & Development,Laboratory Technician,4011,12,10+ years,No,No,0
41,Female,Research & Development,Research Director,19545,22,10+ years,No,Yes,1
34,Male,Sales,Sales Executive,4568,9,6-10 years,No,No,0
37,Male,Research & Development,Research Scientist,3022,1,0-2 years,No,No,0
46,Male,Sales,Sales Executive,5772,9,6-10 years,Yes,No,0
35,Male,Research & Development,Laboratory Technician,2269,1,0-2 years,No,No,0
48,Male,Research & Development,Laboratory Technician,5381,1,0-2 years,Yes,Yes,1
28,Male,Research & Development,Laboratory Technician,3441,2,0-2 years,Yes,Yes,1
44,Female,Sales,Sales Executive,5454,4,3-5 years,Yes,No,0
35,Male,Research & Development,Healthcare Representative,9884,4,3-5 years,Yes,No,0
26,Female,Sales,Sales Executive,4157,2,0-2 years,Yes,No,0
33,Female,Research & Development,Research Director,13458,15,10+ years,Yes,No,0
35,Male,Sales,Sales Executive,9069,9,6-10 years,No,No,0
35,Female,Research & Development,Laboratory Technician,4014,2,0-2 years,Yes,No,0
31,Male,Research & Development,Laboratory Technician,5915,7,6-10 years,No,No,0
37,Male,Research & Development,Manufacturing Director,5993,7,6-10 years,No,No,0
32,Male,Research & Development,Manufacturing Director,6162,9,6-10 years,Yes,No,0
38,Female,Research & Development,Laboratory Technician,2406,10,6-10 years,No,No,0
50,Female,Research & Development,Research Director,18740,27,10+ years,Yes,No,0
59,Female,Sales,Sales Executive,7637,21,10+ years,No,No,0
36,Female,Research & Development,Healthcare Representative,10096,17,10+ years,No,No,0
55,Female,Research & Development,Manager,14756,5,3-5 years,Yes,No,0
36,Male,Research & Development,Manufacturing Director,6499,6,6-10 years,No,No,0
45,Male,Research & Development,Research Scientist,9724,1,0-2 years,No,No,0
35,Male,Research & Development,Research Scientist,2194,3,3-5 years,No,No,0
36,Male,Research & Development,Research Scientist,3388,1,0-2 years,Yes,Yes,1
59,Female,Sales,Sales Executive,5473,4,3-5 years,No,No,0
29,Male,Research & Development,Research Scientist,2703,5,3-5 years,No,No,0
31,Male,Research & Development,Research Scientist,2501,1,0-2 years,No,No,0
32,Male,Research & Development,Research Scientist,6220,10,6-10 years,No,No,0
36,Female,Research & Development,Laboratory Technician,3038,1,0-2 years,No,No,0
31,Female,Research & Development,Manufacturing Director,4424,11,10+ years,No,No,0
35,Male,Sales,Sales Executive,4312,15,10+ years,No,No,0
45,Male,Research & Development,Research Director,13245,0,,Yes,No,0
37,Male,Research & Development,Research Director,13664,5,3-5 years,No,No,0
46,Male,Human Resources,Human Resources,5021,4,3-5 years,Yes,No,0
30,Male,Research & Development,Laboratory Technician,5126,10,6-10 years,Yes,No,0
35,Male,Research & Development,Research Scientist,2859,6,6-10 years,No,No,0
55,Male,Sales,Sales Executive,10239,1,0-2 years,No,No,0
38,Female,Research & Development,Research Scientist,5329,13,10+ years,Yes,No,0
34,Male,Research & Development,Manufacturing Director,4325,5,3-5 years,No,No,0
56,Male,Research & Development,Manufacturing Director,7260,6,6-10 years,No,No,0
23,Male,Sales,Sales Representative,2322,0,,No,No,0
51,Male,Research & Development,Laboratory Technician,2075,4,3-5 years,No,No,0
30,Male,Research & Development,Healthcare Representative,4152,11,10+ years,No,No,0
46,Male,Sales,Sales Executive,9619,9,6-10 years,No,Yes,1
40,Male,Research & Development,Healthcare Representative,13503,22,10+ years,No,No,0
51,Male,Sales,Sales Executive,5441,10,6-10 years,Yes,No,0
30,Female,Sales,Sales Executive,5209,11,10+ years,Yes,No,0
46,Male,Research & Development,Healthcare Representative,10673,10,6-10 years,Yes,No,0
32,Male,Sales,Sales Executive,5010,11,10+ years,No,No,0
54,Female,Research & Development,Research Director,13549,4,3-5 years,No,No,0
24,Female,Sales,Sales Executive,4999,3,3-5 years,No,No,0
28,Male,Sales,Sales Executive,4221,5,3-5 years,No,No,0
58,Male,Sales,Sales Executive,13872,37,10+ years,No,No,0
44,Male,Research & Development,Laboratory Technician,2042,3,3-5 years,No,No,0
37,Male,Human Resources,Human Resources,2073,3,3-5 years,Yes,Yes,1
32,Male,Research & Development,Research Scientist,2956,1,0-2 years,No,No,0
20,Female,Research & Development,Laboratory Technician,2926,1,0-2 years,Yes,Yes,1
34,Female,Research & Development,Research Scientist,4809,16,10+ years,No,No,0
37,Male,Research & Development,Healthcare Representative,5163,1,0-2 years,No,No,0
59,Female,Human Resources,Manager,18844,3,3-5 years,No,No,0
50,Female,Research & Development,Research Director,18172,8,6-10 years,Yes,No,0
25,Male,Sales,Sales Executive,5744,6,6-10 years,Yes,Yes,1
25,Male,Research & Development,Research Scientist,2889,2,0-2 years,No,No,0
22,Female,Research & Development,Laboratory Technician,2871,0,,No,No,0
51,Female,Research & Development,Healthcare Representative,7484,13,10+ years,No,No,0
34,Male,Research & Development,Laboratory Technician,6074,9,6-10 years,Yes,Yes,1
54,Female,Human Resources,Manager,17328,5,3-5 years,Yes,No,0
24,Male,Research & Development,Laboratory Technician,2774,5,3-5 years,No,No,0
34,Female,Research & Development,Research Scientist,4505,1,0-2 years,No,No,0
37,Male,Sales,Sales Executive,7428,5,3-5 years,No,No,0
34,Female,Research & Development,Manager,11631,11,10+ years,No,No,0
36,Female,Sales,Sales Executive,9738,9,6-10 years,No,No,0
36,Female,Research & Development,Laboratory Technician,2835,1,0-2 years,No,No,0
43,Male,Sales,Manager,16959,25,10+ years,Yes,No,0
30,Male,Research & Development,Research Scientist,2613,10,6-10 years,No,No,0
33,Male,Sales,Sales Executive,6146,7,6-10 years,No,No,0
56,Female,Research & Development,Research Scientist,4963,5,3-5 years,Yes,Yes,1
51,Male,Research & Development,Research Director,19537,20,10+ years,No,No,0
31,Male,Sales,Sales Executive,6172,7,6-10 years,Yes,Yes,1
26,Female,Research & Development,Research Scientist,2368,5,3-5 years,No,No,0
58,Female,Research & Development,Healthcare Representative,10312,40,10+ years,No,Yes,1
19,Male,Sales,Sales Representative,1675,0,,Yes,Yes,1
22,Male,Research & Development,Laboratory Technician,2523,2,0-2 years,No,No,0
49,Female,Research & Development,Manufacturing Director,6567,15,10+ years,No,No,0
43,Female,Research & Development,Research Scientist,4739,3,3-5 years,No,No,0
50,Female,Sales,Sales Executive,9208,2,0-2 years,No,No,0
31,Female,Sales,Sales Executive,4559,2,0-2 years,Yes,Yes,1
41,Male,Sales,Sales Executive,8189,9,6-10 years,Yes,No,0
